lexeme                         lineno                         tokenName                      valueIfNumber                  parentNodeSymbol               isLeafNode                     NodeSymbol                    
---                            12                             TK_NUM                         234                           var                            Yes                           ---                           
---                            12                             ---                            ---                            factor                         No                             var                           
---                            12                             ---                            ---                            term                           No                             factor                        
---                            12                             ---                            ---                            expPrime                       No                             term                          
---                            12                             TK_MUL                         ---                            highPrecdenceOperator          Yes                           ---                           
---                            12                             ---                            ---                            termPrime                      No                             highPrecdenceOperator         
---                            12                             ---                            ---                            term                           No                             termPrime                     
---                            12                             TK_NUM                         8                             var                            Yes                           ---                           
---                            12                             ---                            ---                            factor                         No                             var                           
---                            12                             ---                            ---                            termPrime                      No                             factor                        
---                            12                             ---                            ---                            termPrime                      Yes                           EPSILON                       
---                            12                             ---                            ---                            termPrime                      No                             termPrime                     
---                            12                             ---                            ---                            expPrime                       Yes                           EPSILON                       
---                            12                             ---                            ---                            expPrime                       No                             expPrime                      
---                            12                             TK_CL                          ---                            factor                         Yes                           ---                           
---                            12                             ---                            ---                            termPrime                      Yes                           EPSILON                       
---                            12                             ---                            ---                            termPrime                      No                             termPrime                     
---                            12                             ---                            ---                            factor                         No                             arithmeticExpression          
---                            12                             ---                            ---                            expPrime                       Yes                           EPSILON                       
---                            12                             ---                            ---                            arithmeticExpression           No                             expPrime                      
---                            12                             TK_CL                          ---                            factor                         Yes                           ---                           
---                            12                             ---                            ---                            arithmeticExpression           No                             term                          
---                            12                             ---                            ---                            termPrime                      Yes                           EPSILON                       
---                            12                             ---                            ---                            term                           No                             termPrime                     
---                            12                             ---                            ---                            assignmentStmt                 No                             arithmeticExpression          
---                            12                             TK_PLUS                        ---                            lowPrecedenceOperator          Yes                           ---                           
---                            12                             ---                            ---                            expPrime                       No                             lowPrecedenceOperator         
---                            12                             ---                            ---                            arithmeticExpression           No                             expPrime                      
---                            12                             TK_NUM                         5                             var                            Yes                           ---                           
---                            12                             ---                            ---                            factor                         No                             var                           
---                            12                             ---                            ---                            term                           No                             factor                        
---                            12                             ---                            ---                            expPrime                       No                             term                          
---                            12                             TK_MUL                         ---                            highPrecdenceOperator          Yes                           ---                           
---                            12                             ---                            ---                            termPrime                      No                             highPrecdenceOperator         
---                            12                             ---                            ---                            term                           No                             termPrime                     
---                            12                             TK_ID                          ---                            singleOrRecId                  Yes                           ---                           
---                            12                             ---                            ---                            var                            No                             singleOrRecId                 
---                            12                             ---                            ---                            option_single_constructed      Yes                           EPSILON                       
---                            12                             ---                            ---                            singleOrRecId                  No                             option_single_constructed     
---                            12                             ---                            ---                            factor                         No                             var                           
---                            12                             ---                            ---                            termPrime                      No                             factor                        
---                            12                             ---                            ---                            termPrime                      Yes                           EPSILON                       
---                            12                             ---                            ---                            termPrime                      No                             termPrime                     
---                            12                             ---                            ---                            expPrime                       Yes                           EPSILON                       
---                            12                             ---                            ---                            expPrime                       No                             expPrime                      
---                            12                             TK_SEM                         ---                            assignmentStmt                 Yes                           ---                           
---                            12                             ---                            ---                            otherStmts                     No                             stmt                          
---                            11                             ---                            ---                            otherStmts                     No                             otherStmts                    
---                            13                             TK_IF                          ---                            conditionalStmt                Yes                           ---                           
---                            13                             ---                            ---                            stmt                           No                             conditionalStmt               
---                            13                             TK_OP                          ---                            conditionalStmt                Yes                           ---                           
---                            13                             TK_OP                          ---                            booleanExpression              Yes                           ---                           
---                            13                             ---                            ---                            conditionalStmt                No                             booleanExpression             
---                            13                             TK_NOT                         ---                            booleanExpression              Yes                           ---                           
---                            13                             ---                            ---                            booleanExpression              No                             booleanExpression             
---                            13                             TK_OP                          ---                            booleanExpression              Yes                           ---                           
---                            13                             TK_ID                          ---                            singleOrRecId                  Yes                           ---                           
---                            13                             ---                            ---                            var                            No                             singleOrRecId                 
---                            13                             ---                            ---                            option_single_constructed      Yes                           EPSILON                       
---                            13                             ---                            ---                            singleOrRecId                  No                             option_single_constructed     
---                            13                             ---                            ---                            booleanExpression              No                             var                           
---                            13                             ---                            ---                            booleanExpression              No                             booleanExpression             
---                            13                             TK_EQ                          ---                            relationalOp                   Yes                           ---                           
---                            13                             ---                            ---                            booleanExpression              No                             relationalOp                  
---                            13                             TK_NUM                         0                             var                            Yes                           ---                           
---                            13                             ---                            ---                            booleanExpression              No                             var                           
---                            13                             TK_CL                          ---                            booleanExpression              Yes                           ---                           
---                            13                             TK_CL                          ---                            booleanExpression              Yes                           ---                           
---                            13                             ---                            ---                            booleanExpression              Yes                           logicalOp                     
---                            13                             TK_OP                          ---                            booleanExpression              Yes                           ---                           
---                            13                             ---                            ---                            booleanExpression              Yes                           booleanExpression             
---                            13                             TK_CL                          ---                            booleanExpression              Yes                           ---                           
---                            13                             TK_CL                          ---                            conditionalStmt                Yes                           ---                           
---                            13                             TK_THEN                        ---                            conditionalStmt                Yes                           ---                           
---                            15                             TK_ID                          ---                            singleOrRecId                  Yes                           ---                           
---                            15                             ---                            ---                            assignmentStmt                 No                             singleOrRecId                 
---                            15                             ---                            ---                            option_single_constructed      Yes                           EPSILON                       
---                            15                             ---                            ---                            singleOrRecId                  No                             option_single_constructed     
---                            15                             ---                            ---                            stmt                           No                             assignmentStmt                
---                            15                             TK_ASSIGNOP                    ---                            assignmentStmt                 Yes                           ---                           
---                            15                             TK_ID                          ---                            singleOrRecId                  Yes                           ---                           
---                            15                             ---                            ---                            var                            No                             singleOrRecId                 
---                            15                             ---                            ---                            option_single_constructed      Yes                           EPSILON                       
---                            15                             ---                            ---                            singleOrRecId                  No                             option_single_constructed     
---                            15                             ---                            ---                            factor                         No                             var                           
---                            15                             ---                            ---                            term                           No                             factor                        
---                            15                             ---                            ---                            arithmeticExpression           No                             term                          
---                            15                             TK_DIV                         ---                            highPrecdenceOperator          Yes                           ---                           
---                            15                             ---                            ---                            termPrime                      No                             highPrecdenceOperator         
---                            15                             ---                            ---                            term                           No                             termPrime                     
---                            15                             TK_ID                          ---                            singleOrRecId                  Yes                           ---                           
---                            15                             ---                            ---                            var                            No                             singleOrRecId                 
---                            15                             ---                            ---                            singleOrRecId                  Yes                           option_single_constructed     
---                            15                             ---                            ---                            factor                         No                             var                           
---                            15                             ---                            ---                            termPrime                      No                             factor                        
---                            17                             ---                            ---                            termPrime                      Yes                           EPSILON                       
---                            15                             ---                            ---                            termPrime                      No                             termPrime                     
---                            15                             ---                            ---                            assignmentStmt                 No                             arithmeticExpression          
---                            17                             ---                            ---                            expPrime                       Yes                           EPSILON                       
---                            15                             ---                            ---                            arithmeticExpression           No                             expPrime                      
---                            15                             TK_SEM                         ---                            assignmentStmt                 Yes                           ---                           
---                            13                             ---                            ---                            conditionalStmt                No                             stmt                          
---                            13                             ---                            ---                            conditionalStmt                Yes                           otherStmts                    
---                            13                             ---                            ---                            conditionalStmt                Yes                           endOrElse                     
---                            13                             ---                            ---                            otherStmts                     No                             stmt                          
---                            12                             ---                            ---                            otherStmts                     No                             otherStmts                    
---                            18                             ---                            ---                            otherStmts                     Yes                           EPSILON                       
---                            13                             ---                            ---                            otherStmts                     No                             otherStmts                    
---                            8                              ---                            ---                            stmts                          Yes                           returnStmt                    
---                            6                              TK_END                         ---                            function                       Yes                           ---                           
---                            6                              ---                            ---                            program                        No                             otherFunctions                
---                            24                             ---                            ---                            otherFunctions                 Yes                           EPSILON                       
---                            6                              ---                            ---                            otherFunctions                 No                             otherFunctions                
---                            0                              ---                            ---                            ---                            No                             program                       
---                            24                             TK_MAIN                        ---                            mainFunction                   Yes                           ---                           
---                            6                              ---                            ---                            program                        No                             mainFunction                  
---                            25                             ---                            ---                            typeDefinitions                Yes                           EPSILON                       
---                            25                             ---                            ---                            stmts                          No                             typeDefinitions               
---                            24                             ---                            ---                            mainFunction                   No                             stmts                         
---                            25                             TK_TYPE                        ---                            declaration                    Yes                           ---                           
---                            25                             ---                            ---                            declarations                   No                             declaration                   
---                            25                             TK_INT                         ---                            primitiveDatatype              Yes                           ---                           
---                            25                             ---                            ---                            dataType                       No                             primitiveDatatype             
---                            25                             ---                            ---                            declaration                    No                             dataType                      
---                            25                             TK_COLON                       ---                            declaration                    Yes                           ---                           
---                            25                             TK_ID                          ---                            declaration                    Yes                           ---                           
---                            25                             TK_SEM                         ---                            global_or_not                  Yes                           ---                           
---                            25                             ---                            ---                            declaration                    No                             global_or_not                 
---                            25                             ---                            ---                            stmts                          No                             declarations                  
---                            26                             TK_TYPE                        ---                            declaration                    Yes                           ---                           
---                            26                             ---                            ---                            declarations                   No                             declaration                   
---                            26                             TK_INT                         ---                            primitiveDatatype              Yes                           ---                           
---                            26                             ---                            ---                            dataType                       No                             primitiveDatatype             
---                            26                             ---                            ---                            declaration                    No                             dataType                      
---                            26                             TK_COLON                       ---                            declaration                    Yes                           ---                           
---                            26                             TK_ID                          ---                            declaration                    Yes                           ---                           
---                            26                             TK_SEM                         ---                            global_or_not                  Yes                           ---                           
---                            26                             ---                            ---                            declaration                    No                             global_or_not                 
---                            25                             ---                            ---                            declarations                   No                             declarations                  
---                            27                             TK_TYPE                        ---                            declaration                    Yes                           ---                           
---                            27                             ---                            ---                            declarations                   No                             declaration                   
---                            27                             TK_INT                         ---                            primitiveDatatype              Yes                           ---                           
---                            27                             ---                            ---                            dataType                       No                             primitiveDatatype             
---                            27                             ---                            ---                            declaration                    No                             dataType                      
---                            27                             TK_COLON                       ---                            declaration                    Yes                           ---                           
---                            27                             TK_ID                          ---                            declaration                    Yes                           ---                           
---                            27                             TK_COLON                       ---                            global_or_not                  Yes                           ---                           
---                            27                             ---                            ---                            declaration                    No                             global_or_not                 
---                            27                             TK_GLOBAL                      ---                            global_or_not                  Yes                           ---                           
---                            27                             TK_SEM                         ---                            global_or_not                  Yes                           ---                           
